district,dominant_class,area_km2,tree_cover_pct,shrubland_pct,grassland_pct,cropland_pct,built_up_pct,bare_sparse_vegetation_pct,snow_and_ice_pct,permanent_water_bodies_pct,herbaceous_wetland_pct,mangroves_pct,moss_and_lichen_pct
Abbottabad,Tree cover,1641.96,50.76,0.19,38.51,5.12,4.73,0.66,0.0,0.02,0.0,0.0,0.0
Bajaur,Cropland,1378.83,17.39,24.23,25.27,29.31,1.36,2.32,0.0,0.13,0.0,0.0,0.0
Bannu,Bare / sparse vegetation,2005.11,4.76,16.35,7.48,24.84,5.22,40.8,0.0,0.55,0.0,0.0,0.0
Battagram,Grassland,1499.39,39.18,0.0,45.13,2.85,0.88,3.2,2.81,0.27,0.0,0.0,5.68
Buner,Tree cover,1784.16,42.44,9.79,25.3,19.97,1.92,0.57,0.0,0.01,0.0,0.0,0.0
Charsadda,Cropland,1002.26,32.16,4.37,2.44,45.24,10.95,3.09,0.0,1.75,0.0,0.0,0.0
Lower Chitral,Bare / sparse vegetation,6218.04,11.98,0.29,26.13,0.4,0.22,48.01,7.58,0.84,0.0,0.0,4.55
Upper Chitral,Bare / sparse vegetation,8878.9,1.02,0.03,11.61,0.21,0.08,49.59,33.08,1.02,0.01,0.0,3.34
Dera Ismail Khan,Cropland,8815.51,4.88,11.64,6.97,37.84,1.76,34.92,0.0,2.0,0.0,0.0,0.0
Hangu,Shrubland,1363.52,7.92,48.99,17.73,17.32,1.91,6.05,0.0,0.08,0.0,0.0,0.0
Haripur,Tree cover,1954.56,39.29,9.33,16.22,20.62,4.72,1.48,0.0,8.34,0.0,0.0,0.0
Karak,Shrubland,2623.35,2.72,34.43,17.07,11.98,2.64,30.98,0.0,0.19,0.0,0.0,0.0
Khyber,Tree cover,2746.95,27.37,24.4,26.1,4.87,1.34,15.52,0.0,0.4,0.0,0.0,0.01
Kohat,Shrubland,3419.24,6.85,56.48,6.33,15.56,2.12,11.91,0.0,0.74,0.0,0.0,0.0
Lower Kohistan,Tree cover,835.17,38.37,0.0,35.72,0.45,0.23,13.79,1.95,0.59,0.0,0.0,8.89
Upper Kohistan,Grassland,5578.96,15.62,0.12,31.44,0.24,0.03,24.46,7.45,0.87,0.0,0.0,19.78
Kolai Palas Kohistan,Tree cover,1245.01,35.13,0.0,31.71,0.75,0.06,15.32,5.23,0.86,0.0,0.0,10.94
Kurram,Shrubland,3388.0,19.85,40.54,23.59,6.48,1.03,8.38,0.0,0.1,0.0,0.0,0.02
Lakki Marwat,Bare / sparse vegetation,3288.63,1.08,6.58,6.14,32.17,2.24,51.54,0.0,0.26,0.0,0.0,0.0
Lower Dir,Tree cover,1621.12,35.52,19.24,21.1,19.16,3.6,0.75,0.0,0.64,0.0,0.0,0.0
Malakand,Tree cover,911.67,36.3,19.07,21.47,14.97,5.04,2.79,0.0,0.35,0.0,0.0,0.0
Mansehra,Grassland,4064.28,31.01,0.04,38.04,6.9,2.14,7.89,1.48,0.63,0.01,0.0,11.87
Mardan,Cropland,1642.89,32.3,7.47,6.43,41.53,10.23,1.91,0.0,0.13,0.0,0.0,0.0
Mohmand,Grassland,2274.91,6.7,21.88,36.45,15.31,1.25,18.14,0.0,0.26,0.0,0.0,0.0
North Waziristan,Grassland,4873.03,10.71,24.48,32.67,2.56,0.66,28.82,0.0,0.11,0.0,0.0,0.0
Nowshera,Shrubland,1724.75,16.51,33.4,7.02,22.98,7.45,11.22,0.0,1.42,0.0,0.0,0.0
Orakzai,Tree cover,1365.57,41.78,31.4,16.7,8.75,0.27,1.1,0.0,0.0,0.0,0.0,0.0
Peshawar,Cropland,1538.29,17.96,20.66,2.22,34.32,16.74,7.55,0.0,0.56,0.0,0.0,0.0
Shangla,Tree cover,1398.49,56.73,0.0,36.92,2.58,0.9,1.52,0.03,0.58,0.0,0.0,0.73
South Waziristan,Bare / sparse vegetation,6109.95,12.45,15.34,17.48,2.57,0.32,51.48,0.0,0.37,0.0,0.0,0.0
Swabi,Cropland,1483.23,21.08,9.33,7.29,49.39,8.15,2.05,0.0,2.71,0.0,0.0,0.0
Swat,Tree cover,5429.24,28.77,1.22,28.43,5.14,1.53,15.46,7.63,1.16,0.0,0.0,10.66
Tank,Bare / sparse vegetation,2767.39,2.34,15.8,8.52,20.63,1.23,51.37,0.0,0.11,0.0,0.0,0.0
Torghar,Tree cover,457.49,52.39,0.01,39.46,2.58,0.51,0.47,0.0,4.58,0.0,0.0,0.0
Upper Dir,Tree cover,3789.99,43.36,1.49,34.58,2.35,0.47,7.57,2.2,0.37,0.0,0.0,7.61
