district,division,area_km2,population_2023,pop_density,mean_elev_m,mean_slope_deg,govt_pvt_institutions,facility_count,beds_per_1000,doctors_per_1000,accessibility_min,centroid_shift_km,terrain_difficulty,terrain,gap_score,need_tier,pop_2029,fac_nd29,beds_nd29,pop_2031,fac_nd31,beds_nd31,pop_2046,fac_nd46,beds_nd46
Abbottabad,Hazara Division,1639.52,1397587,852.44,1453.2,23.35,193,203,5.022,0.293,10.4,4.17,0.4799,plains,4.52,Low,1487988,0,26,1519402,0,57,1777150,0,315
Bajaur,Malakand Division,1366.31,1283113,939.11,1211.0,17.96,33,4,0.592,0.077,13.54,1.21,0.3642,plains,56.45,High,1515464,47,940,1601913,50,1027,2428513,77,1854
Bannu,Bannu Division,2027.75,1354674,668.07,474.7,5.77,228,19,0.881,0.207,5.29,4.81,0.0783,plains,18.39,Low,1520493,32,606,1580159,34,666,2108991,52,1195
Battagram,Hazara Division,1485.18,553285,372.54,2397.8,27.69,81,9,4.663,0.114,65.46,13.01,0.6693,mountainous,26.94,Moderate,643356,13,469,676527,14,503,986372,24,812
Buner,Malakand Division,1774.05,1016674,573.08,1036.2,20.24,71,21,2.772,0.226,9.16,3.85,0.3775,plains,20.96,Low,1154917,18,802,1205056,20,852,1657409,35,1304
Charsadda,Peshawar Division,999.14,1835136,1836.72,346.2,1.86,102,57,2.177,0.196,5.5,2.02,0.0004,plains,43.12,Moderate,2091671,13,1402,2184918,16,1495,3030388,45,2340
Lower Chitral,Malakand Division,6077.27,318234,52.36,3463.6,31.02,45,4,1.254,0.233,27.73,13.29,0.8585,mountainous,29.9,Moderate,366488,9,63,384148,9,81,546742,15,244
Upper Chitral,Malakand Division,8615.42,195161,22.65,4237.0,28.78,31,5,0.533,0.056,42.3,26.27,0.9226,mountainous,48.66,High,225488,3,161,236611,3,173,339517,7,276
Dera Ismail Khan,Dera Ismail Khan Division,9028.55,1822916,201.91,343.1,4.44,123,31,1.059,0.107,22.66,21.87,0.0405,plains,27.28,Moderate,1969957,35,1095,2021561,37,1147,2454212,51,1579
Hangu,Kohat Division,1372.02,525623,383.1,987.9,10.16,34,1,0.708,0.133,21.88,3.32,0.2131,plains,35.9,Moderate,535876,17,286,539338,17,289,566026,18,316
Haripur,Hazara Division,1953.9,1173056,600.37,698.3,13.91,111,55,2.096,0.246,7.09,4.56,0.2348,plains,18.18,Low,1376607,0,671,1452023,0,746,2166215,18,1460
Karak,Kohat Division,2648.39,815150,307.79,689.9,10.98,55,7,2.376,0.281,27.4,8.87,0.1877,plains,15.24,Low,943245,25,326,990270,27,373,1426335,41,809
Khyber,Peshawar Division,2747.43,1145982,417.11,1381.8,20.53,60,3,0.679,0.159,10.43,21.72,0.4265,plains,38.51,Moderate,1335184,42,819,1404955,44,889,2058596,66,1543
Kohat,Kohat Division,3438.5,1234579,359.05,570.0,10.79,87,48,1.27,0.176,8.44,8.23,0.1693,plains,23.91,Low,1372060,0,702,1421209,0,751,1850520,14,1181
Lower Kohistan,Hazara Division,823.48,303305,368.32,2714.9,33.71,14,3,0.396,0.023,37.75,9.96,0.8046,mountainous,65.02,High,509996,14,452,606451,18,548,2223379,72,2165
Upper Kohistan,Hazara Division,5484.73,374183,68.22,3383.3,32.75,22,0,0.064,0.04,183.16,7.0,0.8753,mountainous,100.0,Critical,515473,18,499,573562,20,558,1277571,43,1262
Kolai Palas Kohistan,Hazara Division,1229.72,236726,192.5,3061.3,32.08,11,0,0.0,0.017,87.02,24.34,0.8234,mountainous,78.16,Critical,241250,9,241,242777,9,243,254543,9,255
Kurram,Kohat Division,3398.38,785434,231.12,1735.5,17.68,87,5,0.756,0.097,20.74,13.56,0.4271,plains,35.37,Moderate,1003167,29,561,1088414,32,646,2006562,62,1565
Lakki Marwat,Bannu Division,3339.82,1036300,310.29,385.5,3.99,72,0,0.901,0.142,48.37,1.21,0.0389,plains,35.07,Moderate,1196117,40,640,1254690,42,699,1795797,60,1240
Lower Dir,Malakand Division,1604.74,1648620,1027.34,1269.8,18.75,128,27,3.666,0.166,7.12,2.45,0.3841,plains,26.96,Moderate,1895123,37,1035,1985225,40,1125,2812561,67,1953
