district,mean_elev_m,min_elev_m,max_elev_m,mean_slope_deg
Abbottabad,1453.2,487.0,2974.4,23.35
Bajaur,1211.0,468.5,3201.6,17.96
Bannu,474.7,288.3,1200.3,5.77
Battagram,2397.8,496.5,4869.5,27.69
Buner,1036.2,355.0,2965.4,20.24
Charsadda,346.2,287.5,1016.5,1.86
Lower Chitral,3463.6,1056.5,7462.7,31.02
Upper Chitral,4237.0,1756.1,7695.1,28.78
Dera Ismail Khan,343.1,0.0,3319.1,4.44
Hangu,987.9,675.9,2139.1,10.16
Haripur,698.3,312.5,1719.1,13.91
Karak,689.9,359.0,1465.9,10.98
Khyber,1381.8,341.5,4264.7,20.53
Kohat,570.0,217.5,2087.7,10.79
Lower Kohistan,2714.9,579.0,4897.7,33.71
Upper Kohistan,3383.3,714.6,5810.8,32.75
Kolai Palas Kohistan,3061.3,569.5,5296.1,32.08
Kurram,1735.5,727.2,4577.8,17.68
Lakki Marwat,385.5,217.4,1936.5,3.99
Lower Dir,1269.8,564.0,3304.4,18.75
Malakand,759.2,362.2,2060.0,16.5
Mansehra,2408.2,457.0,5202.3,24.01
Mardan,430.8,285.0,2015.1,6.19
Mohmand,910.6,337.0,2693.2,16.86
North Waziristan,1442.8,512.3,3390.5,14.32
Nowshera,458.0,245.5,1530.5,7.65
Orakzai,1582.6,740.8,2726.2,21.68
Peshawar,462.6,290.5,1545.9,4.67
Shangla,1763.9,463.5,4428.2,28.46
South Waziristan,1488.4,286.1,3512.9,15.58
Swabi,458.4,265.5,2242.4,6.4
Swat,2800.7,718.0,5905.0,26.41
Tank,479.6,215.4,1932.9,7.04
Torghar,1307.8,456.6,3015.8,28.52
Upper Dir,2639.6,843.5,5683.1,28.1
