name,category,public_private,beds,district,lat,lon,source,geo_precision,is_duplicate_of
Saeed Medical Clinic (Dr. Gul Zaman),General Practitioner Clinic,Private,,Upper Dir,35.28159156571415,72.0338331714954,KPHCC,district_centroid,
Huma Clinic (Dr. Mohammad Humayun),General Practitioner Clinic,Private,,Malakand,34.53800101384951,71.8947262140283,KPHCC,district_centroid,
Dr. Rohi Gul Clinic,General Practitioner Clinic,Private,,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Skin Care Clinic,Specialist Clinic,Private,,Mansehra,34.65615464738109,73.42882583749224,KPHCC,district_centroid,
Rehmania Surgical Center,Hospital,Private,53,Karak,33.13906022355018,71.109389009033,KPHCC,district_centroid,
Dr. Shahid Masroor Clinic (Dr. Shahid Masroor),Specialist Clinic,Private,,Charsadda,34.24405523857447,71.72024053015309,KPHCC,district_centroid,
Mansoor Doctors Hospital,Hospital,Private,54,Shangla,34.9266168,72.6341187,KPHCC,street,
Doctor's International Hospital,Hospital,Private,130,Swat,34.7888397,72.3501947,KPHCC,street,
Hazara GP Clinic (Dr. Javeria Qayyum),General Practitioner,Private,,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Gohar Medical Clinic (Dr. Amir Zeb),General Practitioner,Private,,Malakand,34.53800101384951,71.8947262140283,KPHCC,district_centroid,
Darman Medical Complex,Hospital,Private,52,Mardan,34.3157914727587,72.09792741540741,KPHCC,district_centroid,
Zainab Wali Obs & Gynae Clinic (Dr. Zainab Wali),Specialist Clinic,Private,,Malakand,34.53800101384951,71.8947262140283,KPHCC,district_centroid,
Shangla Medical Complex,Hospital,Private,63,Shangla,34.84910048353705,72.73129349609057,KPHCC,district_centroid,
Wahab Medical Complex,Hospital,Private,30,Lower Dir,34.839827137865974,71.8489259810564,KPHCC,district_centroid,
Dr. Muhammad Arshad Specialist Clinic (Dr. Muhammad Arshad),Specialist Clinic,Private,,Charsadda,34.24405523857447,71.72024053015309,KPHCC,district_centroid,
Abbottabad Psychiatric Center (Dr. Aftab Alam Khan),Specialist Clinic,Private,,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Dr. Abdul Waheed Clinic (Dr. Abdul Waheed),Specialist Clinic,Private,,Mardan,34.3157914727587,72.09792741540741,KPHCC,district_centroid,
Ehsun General Hospital,Hospital,Private,12,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Pakistan Kidney Center-A Project of Pakistan Welfare Society Islamabad,Hospital,Private,95,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Roshan Specialized Hospital,Hospital,Private,107,Swat,35.24336092020762,72.46273370116246,KPHCC,district_centroid,
Saif Ullah Dental Clinic (Dr. Mahib Ullah),Dental Clinic,Private,,Lower Dir,34.839827137865974,71.8489259810564,KPHCC,district_centroid,
Abbott Surgical Hospital,Hospital,Private,21,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Dr. Pir Gul Memorial Clinic (Dr. Jawad Gul),General Practitioner,Private,,Malakand,34.53800101384951,71.8947262140283,KPHCC,district_centroid,
Dr. Pir Saeed Ullah Khan Clinic (Dr. Pir Saeed Ullah Khan),General Practitioner,Private,,Mansehra,34.65615464738109,73.42882583749224,KPHCC,district_centroid,
Dr. Mati Ul Haq GP Clinic (Dr. Mati Ul Haq),General Practitioner,Private,,Upper Dir,35.28159156571415,72.0338331714954,KPHCC,district_centroid,
Family Dental Clinic (Dr. Kaiynat Niaz),Dental Clinic,Private,,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Buner Medical Center,Hospital,Private,150,Buner,34.462718879170446,72.52245523396033,KPHCC,district_centroid,
Paediatric Clinic (Dr. Saffi Ullah),Specialist Clinic,Private,,Peshawar,33.930684082887154,71.595883419228,KPHCC,district_centroid,
South West Health Complex,Hospital,Private,49,Kohat,33.48363735672678,71.54637109845878,KPHCC,district_centroid,
Behram Medical Complex,Hospital,Private,30,Kohat,33.48363735672678,71.54637109845878,KPHCC,district_centroid,
Dr. Naeem Eye Laser & Retina Center,Specialist Clinic,Private,,Peshawar,33.930684082887154,71.595883419228,KPHCC,district_centroid,
Malakand Doctors Hospital,Hospital,Private,120,Malakand,34.53800101384951,71.8947262140283,KPHCC,district_centroid,
Buner General Hospital,Hospital,Private,55,Buner,34.462718879170446,72.52245523396033,KPHCC,district_centroid,
City Medical Complex,Hospital,Private,110,Swat,35.24336092020762,72.46273370116246,KPHCC,district_centroid,
Aga Khan Medical Center,Hospital,Private,37,Upper Chitral,36.463176329074216,72.56532747028804,KPHCC,district_centroid,
Shifa Medical Complex,Hospital,Private,20,Lower Kohistan,35.1684219111145,72.9154110420319,KPHCC,district_centroid,
Saeed Medical Complex,Hospital,Private,120,Peshawar,33.930684082887154,71.595883419228,KPHCC,district_centroid,
Ayub Medical Complex,Hospital,Private,90,Buner,34.462718879170446,72.52245523396033,KPHCC,district_centroid,
Dr. Sulaiman Clinic (Dr. Sulaiman Khan),General Practitioner Clinic,Private,,Upper Dir,35.28159156571415,72.0338331714954,KPHCC,district_centroid,
Institute of Kidney Diseases,Hospital,Public,265,Peshawar,33.9787276,71.4328174,KPHCC,street,
Salman Medical Clinic (Dr. Said Badshah),Specialist Clinic,Private,,Mardan,34.3157914727587,72.09792741540741,KPHCC,district_centroid,
Khalid Health Care Clinic (Dr. Kamran Ahmad),General Practitioner,Private,,Mardan,34.3157914727587,72.09792741540741,KPHCC,district_centroid,
Saeed Medical Complex,Hospital,Private,70,Mardan,34.3157914727587,72.09792741540741,KPHCC,district_centroid,
Frontier Corps Teaching Hospital,Hospital,Public,200,Khyber,33.95979254672233,71.06735383245068,KPHCC,district_centroid,
Dr. Shazia Health Care Center (Dr. Shazia Hussain),General Practitioner Clinic,Private,,Peshawar,33.930684082887154,71.595883419228,KPHCC,district_centroid,
Al Mehmood Clinic (Dr. Muhammad Ismail),General Practitioner Clinic,Private,,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Jan Medical Center (Dr. Muhammad Asjad),General Practitioner Clinic,Private,,Mardan,34.3157914727587,72.09792741540741,KPHCC,district_centroid,
Family Dental Care (Dr. Muhammad Iqbal),Dental Clinic,Private,,Swat,35.24336092020762,72.46273370116246,KPHCC,district_centroid,
Nighat Medical Center,Hospital,Private,8,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Islamabad Diagnostic Centre,Laboratory,Private,,Swat,35.24336092020762,72.46273370116246,KPHCC,district_centroid,
Islamabad Diagnostic Centre,Laboratory,Private,,Swat,35.24336092020762,72.46273370116246,KPHCC,district_centroid,
Islamabad Diagnostic Centre,Laboratory,Private,,Mansehra,34.65615464738109,73.42882583749224,KPHCC,district_centroid,
Al Khidmat Charity Australia Diagnostic Center,Laboratory,Private,,Mansehra,34.65615464738109,73.42882583749224,KPHCC,district_centroid,
Dr. Haq Nawaz Clinic (Dr. Haq Nawaz),Specialist Clinic,Private,,Mansehra,34.65615464738109,73.42882583749224,KPHCC,district_centroid,
Bright Smile Dental Surgery (Dr. Muhammad Mattiullah Khan),Dental Clinic,Private,,Swat,35.24336092020762,72.46273370116246,KPHCC,district_centroid,
Sikandar Medical Infirmary,Hospital,Private,120,Swat,35.24336092020762,72.46273370116246,KPHCC,district_centroid,
Frontier Institute of Ophthalmology Hospital,Hospital,Private,29,Peshawar,33.930684082887154,71.595883419228,KPHCC,district_centroid,
Prof. Qiam & Associates,Dental Clinic,Private,,Peshawar,33.930684082887154,71.595883419228,KPHCC,district_centroid,
Mustafa Hospital,Hospital,Private,29,Malakand,34.53800101384951,71.8947262140283,KPHCC,district_centroid,
Ceena Medical Center,Hospital,Private,49,Swabi,34.136140155544474,72.45798207302799,KPHCC,district_centroid,
Sherzada Hospital & Spine Center,Hospital,Private,49,Swat,35.24336092020762,72.46273370116246,KPHCC,district_centroid,
Al Rasheed Hospital & Kidney Center,Hospital,Private,150,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Shahina Jamil Teaching Hospital,Hospital,Private,412,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Makkah Eye Clinic,Specialist Clinic,Private,,Mardan,34.3157914727587,72.09792741540741,KPHCC,district_centroid,
Dr. Shah Hakim Khan Clinic,General Practitioner Clinic,Private,,Peshawar,33.930684082887154,71.595883419228,KPHCC,district_centroid,
Dr. Manan Clinic,General Practitioner Clinic,Private,,Malakand,34.53800101384951,71.8947262140283,KPHCC,district_centroid,
Faizan Medical Complex & Maternity Home,Hospital,Private,120,Battagram,34.787083355397016,73.13766380143453,KPHCC,district_centroid,
Allied Specialist Clinic & NCS,Specialist Clinic,Private,,Abbottabad,34.10415081581159,73.27497933394895,KPHCC,district_centroid,
Dr. Shahab Uddin Health Care Clinic,General Practitioner Clinic,Private,,Lower Dir,34.839827137865974,71.8489259810564,KPHCC,district_centroid,
Dr. Rukhsana Sohail Clinic (Dr. Rukhsana Sohail),Specialist Clinic,Private,,Peshawar,33.930684082887154,71.595883419228,KPHCC,district_centroid,
Prof. Dr. Amer Bilal Clinic (Dr. Amer Bilal),Specialist Clinic,Private,,Peshawar,33.930684082887154,71.595883419228,KPHCC,district_centroid,
Shah Faisal hospital,Hospital,Private,14,Haripur,34.00390791140733,72.90078631001766,KPHCC,district_centroid,
Said Hakeem Shah Dental Clinic (Dr. Hina Hakim),Dental Clinic,Private,,Peshawar,33.9990053,71.5407197,KPHCC,street,
Al Azam Hospital,Hospital,Private,22,Abbottabad,34.0024977,73.0735814,KPHCC,street,
