district,division,population_2023,population_prior,prior_census_year,growth_rate_pct,source_url
Abbottabad,Hazara Division,1397587,1333089,2017,1.0501,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Bajaur,Malakand Division,1283113,1090987,2017,2.8127,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Bannu,Bannu Division,1354674,1210183,2017,1.9432,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Battagram,Hazara Division,553285,476749,2017,2.5456,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Buner,Malakand Division,1016674,895460,2017,2.1476,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Charsadda,Peshawar Division,1835136,1610960,2017,2.2047,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Dera Ismail Khan,Dera Ismail Khan Division,1822916,1693594,2017,1.3013,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Hangu,Kohat Division,525623,518811,2017,0.3225,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Haripur,Hazara Division,1173056,1001515,2017,2.7027,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Karak,Kohat Division,815150,705362,2017,2.4624,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Khyber,Peshawar Division,1145982,984246,2017,2.5795,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Kohat,Kohat Division,1234579,1111266,2017,1.7753,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Kolai Palas Kohistan,Hazara Division,236726,274923,2017,0.316,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Kurram,Kohat Division,785434,615372,2017,4.1623,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Lakki Marwat,Bannu Division,1036300,902138,2017,2.4192,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Lower Chitral,Malakand Division,318234,278328,2017,2.3809,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Lower Dir,Malakand Division,1648620,1436082,2017,2.3496,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Lower Kohistan,Hazara Division,303305,202502,2017,9.0472,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Malakand,Malakand Division,825377,717806,2017,2.3793,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Mansehra,Hazara Division,1789624,1555742,2017,2.4403,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Mardan,Mardan Division,2740692,2373399,2017,2.4601,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Mohmand,Peshawar Division,553933,474345,2017,2.6261,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
North Waziristan,Bannu Division,693137,540546,2017,4.2479,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Nowshera,Peshawar Division,1735689,1520995,2017,2.2805,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Orakzai,Kohat Division,387561,254303,2017,7.2955,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Peshawar,Peshawar Division,4750388,4331959,2017,1.5828,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Shangla,Malakand Division,890846,759609,2017,2.707,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
South Waziristan,Dera Ismail Khan Division,888675,675215,2017,4.6979,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Swabi,Mardan Division,1890230,1625477,2017,2.5935,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Swat,Malakand Division,2686076,2308624,2017,2.5714,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Tank,Dera Ismail Khan Division,470293,427044,2017,1.6253,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Torghar,Hazara Division,200445,171349,2017,2.6558,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Upper Chitral,Malakand Division,195161,169297,2017,2.4366,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Upper Dir,Malakand Division,1082416,947401,2017,2.2697,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
Upper Kohistan,Hazara Division,374183,307286,2017,5.4841,"https://census23.pbos.gov.pk/Index/GetData (POST code=<district>, level=3)"
